Source;Accessible au public;Tarif;Accessibilite PMR;Indications de localisation;Type;Horaires d'ouverture;Relais bébé;coord_geo;osm_id;nom_de_la_commune;code_geogrephique_commune;nom_departement;code_geographique_departement
Openstreetmap;;Gratuit;Oui;;Toilettes publiques (Toilettes assises);;;48.831938099734, 2.3254901;node/1369995311;Paris;75056;Paris;75
Openstreetmap;;Gratuit;Oui;;Toilettes publiques (Toilettes assises);;;48.8622861997265, 2.3790692;node/1369995715;Paris;75056;Paris;75
Openstreetmap;;Gratuit;Oui;;Toilettes publiques (Toilettes assises);;;48.8835071997212, 2.3834697;node/1369996128;Paris;75056;Paris;75
Openstreetmap;;;;;Toilettes publiques;;;48.5445850998052, 2.1492528;node/1659120056;Saint-Chéron;91540;Essonne;91
Openstreetmap;;;;Avia;Toilettes dans un bâtiment recevant du public;24/7;;48.8191138997372, 2.2957493;node/2409683708;Malakoff;92046;Hauts-de-Seine;92
Openstreetmap;;;Oui;;Toilettes publiques;;;48.8890186997198, 2.3632117;node/2776282009;Paris;75056;Paris;75
Openstreetmap;;;;;Toilettes publiques;;;48.6923849997686, 2.2697701;node/2831555629;Saulx-les-Chartreux;91587;Essonne;91
Openstreetmap;;Gratuit;Non;;Toilettes publiques;;;48.8614784997267, 2.3787271;node/3248926519;Paris;75056;Paris;75
Openstreetmap;;;Non;Sodam;Toilettes dans un bâtiment recevant du public (Toilettes assises);Tu-Su 12:00-14:30, 19:00-22:30, Mo closed;;48.8332820997337, 2.3158571;node/3608440968;Paris;75056;Paris;75
Openstreetmap;;;Oui;;Toilettes publiques;;Oui;48.896322199718, 2.4589285;node/9131385726;Noisy-le-Sec;93053;Seine-Saint-Denis;93
Openstreetmap;;Gratuit;Oui;;Toilettes publiques;;;48.8379281997325, 2.3511626;node/9358384418;Paris;75056;Paris;75
Openstreetmap;;;;Total;Toilettes dans un bâtiment recevant du public;24/7;;48.643840444259, 1.83910254104676;way/146146859;Rambouillet;78517;Yvelines;78
Openstreetmap;;Payant;Oui;;Toilettes publiques;;;48.8386302903892, 2.31600673078112;way/409836230;Paris;75056;Paris;75
Openstreetmap;;;;Elan;Toilettes dans un bâtiment recevant du public;;;48.8348307104227, 2.2419401310721;way/63452857;Boulogne-Billancourt;92012;Hauts-de-Seine;92
Openstreetmap;;;;;Toilettes publiques;;;48.8604717271791, 2.32515561098195;way/641900007;Paris;75056;Paris;75
Openstreetmap;Oui;Gratuit;Oui;;Toilettes publiques;;;48.856324199728, 2.2963476;node/4340247153;Paris;75056;Paris;75
Openstreetmap;Oui;Gratuit;Oui;;Toilettes publiques (Toilettes assises);;;48.7094159997644, 2.1683586;node/7070140478;Gif-sur-Yvette;91272;Essonne;91
Openstreetmap;;Gratuit;Oui;;Toilettes publiques;;;48.8327256528205, 2.37661411740957;way/493219730;Paris;75056;Paris;75
Openstreetmap;Oui;Gratuit;Oui;;Toilettes publiques;;;49.0315172996845, 2.4634809;node/6614737406;Goussainville;95280;Val-d'Oise;95
Autres;;Gratuit;Oui;;SANISETTE;24 h / 24;;48.85415067181023, 2.3560235996563175;;Paris;75056;Paris;75
Autres;;Gratuit;Non;;TOILETTES;;Non;48.821014127516676, 2.35678871657851;;Paris;75056;Paris;75
Autres;;Gratuit;Oui;;SANISETTE;6 h - 22 h;;48.843194568802474, 2.3505902463720862;;Paris;75056;Paris;75
Autres;;Gratuit;Oui;;SANISETTE;6 h - 22 h;;48.89769666177367, 2.377469825874633;;Paris;75056;Paris;75
Autres;;Gratuit;Non;;TOILETTES;;Non;48.869910694027446, 2.4110869068483605;;Paris;75056;Paris;75
Autres;;Gratuit;Oui;;SANISETTE;6 h - 22 h;;48.86601791753036, 2.3525443661897643;;Paris;75056;Paris;75
Openstreetmap;;Gratuit;Oui;;Toilettes publiques (Toilettes assises);;;48.8556465997281, 2.3835553;node/1369995657;Paris;75056;Paris;75
Openstreetmap;;Gratuit;Oui;;Toilettes publiques (Toilettes assises);;;48.8707509997244, 2.3545652;node/1369995997;Paris;75056;Paris;75
Openstreetmap;;;;;Toilettes publiques;;;48.8496204997296, 2.4036764;node/1811070410;Paris;75056;Paris;75
Openstreetmap;;Gratuit;Oui;;Toilettes publiques;;;48.8854402997207, 2.3309916;node/1857604683;Paris;75056;Paris;75
Openstreetmap;;;;Station Relais Total Meudon;Toilettes dans un bâtiment recevant du public;24/7;;48.8132270997387, 2.2169188;node/1934839203;Meudon;92048;Hauts-de-Seine;92
Openstreetmap;;Payant;Oui;;Toilettes publiques;;;48.7711962997491, 2.4582459;node/2147114553;Créteil;94028;Val-de-Marne;94
Openstreetmap;;;;BP;Toilettes dans un bâtiment recevant du public;24/7;;48.7059316997653, 2.3686672;node/2296412775;Athis-Mons;91027;Essonne;91
Openstreetmap;;;Oui;SARL Jaby Avia;Toilettes dans un bâtiment recevant du public;24/7;Oui;48.8144776997383, 2.3261551;node/25214143;Montrouge;92049;Hauts-de-Seine;92
Openstreetmap;;Gratuit;Oui;;Toilettes publiques (Toilettes assises);;;48.8371798997327, 2.296796;node/259289448;Paris;75056;Paris;75
Openstreetmap;;Gratuit;Non;;Toilettes publiques;;;48.8275030997351, 2.3672994;node/2942289173;Paris;75056;Paris;75
Openstreetmap;;;;Station Elf;Toilettes dans un bâtiment recevant du public;24/7;;49.0707280996748, 2.5532759;node/4828767421;Vémars;95641;Val-d'Oise;95
Openstreetmap;;Gratuit;Oui;;Toilettes publiques;;;48.5271579998095, 2.6538926;node/5594442581;Melun;77288;Seine-et-Marne;77
Openstreetmap;;Gratuit;Oui;;Toilettes publiques;;;48.7735248997485, 2.2687016;node/5777209519;Châtenay-Malabry;92019;Hauts-de-Seine;92
Openstreetmap;;Gratuit;;;Toilettes publiques;;;48.8841057997211, 2.352188;node/604201368;Paris;75056;Paris;75
Openstreetmap;;;Non;Resto Pizza;Toilettes dans un bâtiment recevant du public;;;48.8073010997401, 2.3345758;node/6064970715;Arcueil;94003;Val-de-Marne;94
Openstreetmap;;Gratuit;Oui;;Toilettes publiques;;;48.8917298997192, 2.1962523;node/639343071;Nanterre;92050;Hauts-de-Seine;92
Openstreetmap;;Gratuit;Oui;;Toilettes publiques;;Oui;49.0026664996917, 2.5850481;node/6538894189;Le Mesnil-Amelot;77291;Seine-et-Marne;77
Openstreetmap;;Gratuit;Oui;;Toilettes publiques;;Oui;49.0038163996914, 2.5848743;node/6538894190;Le Mesnil-Amelot;77291;Seine-et-Marne;77
